Model,Model Path,Vector Dimension,Matched Text,Matched Category,IP Index,L2 Index,Indexes Agree,Cosine (Actual),L2 Dist (Actual),Cosine (Calc from L2),L2 Dist (Calc from Cos),Cosine Absolute Error,L2 Absolute Error,Elapsed Seconds
WangchanBERTa,kornwtp/ConGen-model-wangchanberta,768,สำนักงานใหญ่ของคุณตั้งอยู่ที่ไหน?,location,0,0,True,0.8887447714805603,0.47170999875816566,0.8887448385357857,0.47171014091164015,6.705522537231445e-08,1.421534744916464e-07,53.377020968000124
PhayaThaiBERT,kornwtp/SCT-model-phayathaibert,768,สำนักงานใหญ่ของคุณตั้งอยู่ที่ไหน?,location,0,0,True,0.9154537916183472,0.41120877323068483,0.9154536724090576,0.41120848333090804,1.1920928955078125e-07,2.898997767952771e-07,83.54659533800009
Multilingual-MPNet,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,768,สำนักงานใหญ่ของคุณตั้งอยู่ที่ไหน?,location,0,0,True,0.8460286855697632,0.5549261627396811,0.8460284769535065,0.5549257868043921,2.086162567138672e-07,3.7593528900981e-07,8.69629129100008
