label,parameters,num_ctx,model,wall_seconds,total_seconds,load_seconds,prompt_tokens,generated_tokens,generation_seconds,tokens_per_second,peak_vram_mib
Qwen2.5,0.5B,1024,qwen2.5:0.5b,3.100908086000345,2.943132639,1.275769424,42,269,1.614721,166.5922472055544,1343.625
Llama 3.2,1B,1024,llama3.2:1b,7.719805067999914,7.623755709,1.797939485,38,778,5.789062,134.39137463029417,2265.83984375
SmolLM2,1.7B,1024,smollm2:1.7b,3.519546775998606,3.429118587,1.480516467,41,187,1.909543,97.92919038743825,2908.3984375
